,Domain_Name,Organization_Name
2682,nrcy.org.in,National Research Centre on Yak (NRCYAK)
2683,nrdcindia.com,National Research Development Corporation (NRDC)
2684,nrdms.gov.in,Natural Resources Data Management System (NRDMS)
2685,nrdwp.gov.in,National Rural Drinking Water Programme (NRDWP)
2686,nrega.nic.in,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
2687,nrfmtti.gov.in,"Northern Farm Machinery Training & Testing Institute, Hissar"
2688,nrhm-mis.nic.in,National Rural Health Mission (2005-12)
2689,nrl.co.in,Numaligarh Refinery Limited (NRL)
2690,nrlc.gov.in,National Research Laboratory for Conservation of Cultural Property (NRLC)
2691,nrldc.org,Northern Regional Load Despatch Center - Power System Operation Corporation Limited
2692,nrm.indianrailways.gov.in,"National Rail Museum, New Delhi"
2693,nroer.gov.in,National Repository of Open Educational Resources (NROER)
2694,nromoef.gov.in,"Ministry of Environment & Forests Northern Regional Office, Chandigarh"
2695,nrpc.gov.in,"Northern Regional Power Committee, Ministry of Power"
2696,nrsc.gov.in,National Remote Sensing Centre (NRSC)
2697,nsab.gov.in,National Security Advisory Board (NSAB)
2698,nsap.nic.in,National Social Assistance Programme (NSAP)
2699,nsb.nic.in,"National Shipping Board, New Delhi"
2700,nscd.gov.in,"National Science Centre, Delhi"
2701,nsd.gov.in,National School of Drama
2702,nsda.gov.in,National Skill Development Agency (NSDA)
2703,nsdcindia.org,"National Skill Development Corporation India (NSDC), New Delhi"
2704,nsdiindia.gov.in,"NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI)"
2705,nset.gov.in,National Symposium on Excellence in Training (NSET)
2706,nsez.gov.in,Noida Special Economic Zone (NSEZ)
2707,nsf.nic.in,Monitoring of Financial Assistance to NSFs and Pension to Meritorious Sportsperson
2708,nsfdc.nic.in,National Scheduled Castes Finance and Development Corporatioin (NSFDC)
2709,nsg.gov.in,National Security Guard (NSG)
2710,nsgm.gov.in,National Smart Grid Mission (NSGM)
2711,nsi.gov.in,National Sugar Institute
2712,nsic.co.in,National Small Industries Corporation Limited (NSIC)
2713,nsiindia.gov.in,National Savings Institute (NSI)
2714,nskfdc.nic.in,National Safai Karamcharis Finance and Development Corporation (NSKFDC)
2715,nsnis.org,Netaji Subhas National Institute of Sports (NSNIS)
2716,nsricm.com,"Netaji Subhas Regional Institute of Cooperative Management (NSRICM), Kalyani, West Bengal"
2717,nsrtc.nic.in,National Seed Research and Training Centre (NSRTC)
2718,nss.nic.in,National Service Scheme (NSS)
2719,nsscellchd.gov.in,"State National Service Scheme(NSS) Cell, Chandigarh"
2720,nstedb.com,National Science and Technology Entrepreneurship Development Board
2721,nstfdc.in,National Scheduled Tribes Finance and Development Corporation (NSTFDC)
2722,nstmis-dst.org,National Science and Technology Management Information System (NSTMIS)
2723,ntcltd.org,National Textile Corporation Limited (NTC)
2724,nth.gov.in,National Test House
2725,ntiindia.kar.nic.in,"National Tuberculosis Institute (NTI), Bangalore"
2726,ntiprit.gov.in,"National Telecommunications Institute for Policy Research, Innovation & Training (NTIPRIT)"
2727,ntpc.co.in,National Thermal Power Corporation NTPC
2728,ntpcntecljv.co.in,NTPC Tamil Nadu Energy Company Limited  (NTECL)
2729,ntproj.bsnl.co.in,Northern Telecom Project Circle
2730,ntr.bsnl.co.in,Northern Telecom Region
2731,ntro.gov.in,National Technical Research Organisation (NTRO)
2732,nuepa.org,National University of Educational Planning and Administration (NUEPA)
2733,nuepaeduplan.nic.in,"Learning Portal - National University of Educational Planning and Administration (NUEPA), New Delhi"
2734,nulm.gov.in,"National, Urban, Livelihoods, Mission, NULM"
2735,nursingandmidwifery.gov.in,Nursing and Midwifery Portal - An initiative of Ministry of health and Family welfare
2736,nutritionsocietyindia.org,"Nutrition Society of India (NSI), Hyderabad"
2737,nvbdcp.gov.in,National Vector Borne Disease Control Programme (NVBDCP)
2738,nvsp.in,"National Voter's Services Portal, Election Commission of India"
2739,nvsrochd.gov.in,"Navodaya Vidyalaya Samiti, Regional Office, Chandigarh"
2740,nvsrojpr.gov.in,"Navodaya Vidyalaya Samiti, Jaipur"
2741,nvsroshillong.gov.in,"Jawahar Navodaya Vidyalaya, Shillong Region"
2742,nwa.mah.nic.in,"National Water Academy, Central Water Commission, Pune, Maharashtra"
2743,nwda.gov.in,National Water Development Agency (NWDA)
2744,nwm.gov.in,National Water Mission
2745,nwr.indianrailways.gov.in,North Western Railway
2746,nyks.org,"Nehru Yuva Kendra Sangathan (NYKS), Delhi"
2747,nzpnewdelhi.gov.in,"National Zoological Park, Delhi"
2748,ocfs.gov.in,"Ordnance Clothing Factory, Shahjahanpur, Uttar Pradesh"
2749,odisha.bsnl.co.in,Odisha BSNL Telecom Circle
2750,odishapost.gov.in,"Odisha Postal Circle, Department of Posts"
2751,oefhz.gov.in,"Ordnance Equipment Factory, Hazratpur"
2752,oefkanpur.gov.in,"Ordnance Equipment Factory, Kanpur, Uttar Pradesh"
2753,ofbeproc.gov.in,"eProcurement System, Indian Ordnance Factories"
2754,ofbgcf.nic.in,"Gun Carriage Factory (GCF), Jabalpur, Madhya Pradesh"
2755,ofbindia.gov.in,Indian Ordnance Factories
2756,ofdr.gov.in,"Ordnance Factory Dehu Road, Pune, Maharashtra"
2757,ofkanpur.gov.in,"Ordnance Factory, Kanpur, Uttar Pradesh"
2758,ofmedak.gov.in,"Ordnance Factory, Medak (OFMK), Telangana"
2759,ogpl.gov.in,Open Government Platform (OGPL)
2760,oidb.gov.in,"Oil Industry Development Board (OIDB), Noida, Uttar Pradesh"
2761,oil-india.com,"Oil India Limited (OIL), Noida"
2762,oisd.gov.in,Oil Industry Safety Directorate (OISD)
2763,okd.in,Omeo Kumar Das Institute of Social Change and Development (OKDISCD)
2764,olkarnataka.kar.nic.in,Office of Offical Liquidator
2765,ongcindia.com,Oil and Natural Gas Corporation Limited (ONGC)
2766,online-inspire.gov.in,Innovation in Science Pursuit for Inspired Research (INSPIRE)
2767,online-ldo.nic.in,"Online Application Form - Land and Development Office, Ministry of Urban Development"
2768,onlineservices.tin.egov-nsdl.com,"e-Payment of direct taxes online by taxpayers, Income Tax Department"
2769,openforge.gov.in,OpenForge - A platform for open collaborative software development of e-governance applications
2770,opex.nic.in,Operation Excellence for London Olympics - 2012 (OPEX 2012)
2771,ordkham.gov.in,"Ordnance Factory, Khamaria, Jabalpur, Madhya Pradesh"
2772,ordnancedumdum.nic.in,"Ordnance Factory, Dumdum, Kolkata"
2773,ori.nic.in,"Odisha State Centre, National Informatics Centre (NIC)"
2774,orientalinsurance.org.in,Oriental Insurance Company Limited (OICL)
2775,ors.gov.in,ORS Patient Portal - Aadhaar based Online Registration System (ORS) for OPD appointment in Government Hospitals
2776,ostcbu.nic.in,Ocean Science and Technology Cell (OSTC)
2777,owrc.in,"Overseas Workers Resource Centre (OWRC), New Delhi"
2778,ozonecell.com,"Ozone Cell - Ministry of Environment and Forests (MOEF), New Delhi"
2779,packolkata.gov.in,"Positional Astronomy Centre (PAC), Kolkata"
2780,padmaawards.gov.in,"Padma Awards Ministry of Home Affairs, Govt. of India"
2781,paggujarat.nic.in,"Principal Accountant General (Commercial and Receipt Audit), Gujarat"
2782,panchayat.gov.in,Ministry of Panchayati Raj
2783,panchayataward.gov.in,"Panchayat Awards by Ministry of Panchayati Raj, Govt. of India"
2784,panchayatdirectory.gov.in,"National Panchayat Directory, Ministry of Panchayati Raj"
2785,panchayatonline.gov.in,Panchayat Enterprise Suite(PES) -  e-Panchayat MMP of Ministry of Panchayati Raj
2786,panchayatportals.gov.in,"National Panchayat Portal, PES, e-Panchayat MMP of Ministry of Panchayati Raj"
2787,pao39gtc.gov.in,"Pay and Accounts Office(Other Ranks) - PAO (ORs) 39GTC, PCDA (CC)"
2788,paoascblr.gov.in,"Office of PAO, Principal Controller of Defence Accounts (PCDA), Bangalore"
2789,paocdajabalpur.nic.in,"PAO(ORs) Corps of Signal, Pay and Accounts Office, Jabalpur, Madhya Pradesh"
2790,paogref.nic.in,"Pay Accounts Office (GREF), Dighi Camp, Pune"
2791,parachutekanpur.gov.in,"Ordnance Parachute Factory, Kanpur, Uttar Pradesh"
2792,parc.cdac.in,"PARC - Perso-Arabic Resource Centre for Urdu, Sindhi, Kashmiri and Arabic, (C-DAC)"
2793,parivahan.gov.in,Parivahan Sewa by Ministry of Road Transport & Highways
2794,parliamentofindia.gov.in,Indian Parliament
2795,pasadrexam2014.in,"Postal Assistant / Sorting Assistant Examinations, Department of Posts"
2796,passportindia.gov.in,Passport Seva Portal
2797,patna.idtr.gov.in,"MSME Tool Room Training Center, Patna (Extension Center)"
2798,pawanhans.co.in,Pawan Hans Limited (PHL)
2799,pb.bsf.gov.in,"Punjab Frontier, Border Security Force"
2800,pbd-india.com,Pravasi Bharatiya Divas (PBD)
2801,pbsc.nic.in,"Punjab State Centre, National Informatics Centre (NIC)"
2802,pcafys.gov.in,"Principal Controller of Accounts (Factories), Kolkata"
2803,pccacbdt.gov.in,"Principal Chief Controller of Accounts, Central Board of Excise and Customs (CCA - CBEC)"
2804,pcdablr.gov.in,"Principal Controller of Defence Accounts (PCDA) , Bangalore"
2805,pcdabr.gov.in,Principal Controller of Defence Accounts (Border Roads)
2806,pcdacc.gov.in,"Principal Controller of Defence Accounts (Central Command), Lucknow"
2807,pcdanavy.gov.in,Principal Controller of Defence Accounts (Navy)
2808,pcdanc.nic.in,Principal Controller of Defence Accounts (Northern Command)
2809,pcdanewdelhi.gov.in,"Principal Controller of Defence Accounts (PCDA), New Delhi, "
2810,pcdaopune.gov.in,Controller of Defence Accounts (Officers)
2811,pcdapension.nic.in,Principal Controller of Defence Accounts (Pensions)
2812,pcdarnd.gov.in,"Principal Controller of Defence Accounts (R&D), New Delhi"
2813,pcdasc.gov.in,"Principal Controller of Defence Accounts (Southern Command), Pune"
2814,pcdaswc.nic.in,"Principal Controller of Defence Accounts (South Western Command), Jaipur"
2815,pcdawc.gov.in,"Principal Controller of Defence Accounts, Western Command, Changigarh"
2816,pci.nic.in,Pharmacy Council of India
2817,pcra.org,Petroleum Conservation Research Association(PCRA)
2818,pdilin.com,Projects and Development India Limited (PDIL)
2819,pdonpoultry.org,"Project Directorate on Poultry (PDP), Hyderabad, Andhra Pradesh"
2820,pdrtcb.gov.in,"Principal Director, Regional Training Centre, Bengaluru"
2821,pdscvc.nic.in,"Central Vigilance Committee on Public Distribution System, New Delhi"
2822,pdsportal.nic.in,e - PDS Portal of India
2823,peclimited.com,PEC Limited
2824,pencil.gov.in,PENCIL - Platform for Effective National Child Labour Project (NCLP) Scheme
2825,pensionersportal.gov.in,"Pensioners' Portal - eGovernance Initiative of Department of Pension and Pensioners' Welfare, Government of India"
2826,persmin.gov.in,"Ministry of Personnel, Public Grievances and Pensions"
2827,pesadarpan.gov.in,"The Provisions of the Panchayats (Extension to the Scheduled Areas) Act, 1996 (PESA)"
2828,pesb.gov.in,Public Enterprises Selection Board (PESB)
2829,pesbonline.gov.in,"e-Application System for Board Level Posts, Public Enterprises Selection Board(PESB)"
2830,peso.gov.in,Petroleum and Explosives Safety Organisation
2831,pesurvey.nic.in,Public Enterprises(PE) Survey Report
2832,petroleum.nic.in,Ministry of Petroleum and Natural Gas
2833,pfc.gov.in,"Power Finance Corporation Limited, New Delhi"
2834,pfc.org.in,"Patent Facilitating Centre, New Delhi"
2835,pfcclindia.com,"PFC Consulting Limited (PFCCL), Power Finance Corporation Limited (PFC), New Delhi"
2836,pfcgel.com,"PFC Green Energy Limited, New Delhi"
2837,pfrda.org.in,Pension Fund Regulatory and Development Authority (PFRDA)
2838,pgimer.edu.in,"Post Graduate Institute of Medical Education and Research, Chandigarh"
2839,pgportal.gov.in,Online Public Grievance Lodging and Monitoring System (OPGLMS)
2840,pgs.iasri.res.in,"PG School, Indian Agricultural Research Institute (IARI) Managment System"
2841,pgsindia-ncof.gov.in,"Participatory Guarantee System (PGS) for India, National Center of Organic Farming (NCOF)"
2842,pharmaceuticals.gov.in,Department of Pharmaceuticals
2843,pharmexcil.org,Pharmaceuticals Export Promotion Council (PHARMEXCIL)
2844,photodivision.gov.in,Photo Division
2845,physics.iitm.ac.in,"Department of Physics, Indian Institute of Technology, Madras"
2846,pib.and.nic.in,"Press Information Bureau (PIB), Andaman and Nicobar"
2847,pib.gov.in,Press Information Bureau (PIB)
2848,pibaizawl.nic.in,"Press Information Bureau (PIB), Aizawl"
2849,pibbng.kar.nic.in,"Press Information Bureau, Bangalore"
2850,pibchennai.gov.in,"Press Information Bureau (PIB), Chennai"
2851,pibguwahati.nic.in,"Press Information Bureau (PIB), Guwahati"
2852,pibhyd.ap.nic.in,"Press Information Bureau (PIB), Hyderabad"
2853,pibmumbai.gov.in,"Press Information Bureau (PIB), Mumbai"
2854,pihmct.puducherry.gov.in,"Pondicherry Institute of Hotel Management and Catering Technology, Colas Nagar, Pondicherry"
2855,planningcommissionarchive.nic.in,Planning Commission (Archival Website)
2856,planningonline.gov.in,PlanPlus - Decentralized Planning System
2857,planschemescondb.gov.in,Plan Schemes Consulting Interventions and Consultant Database
2858,plantauthority.gov.in,"Protection of Plant Varieties and Farmers Rights Authority, New Delhi"
2859,plantquarantineindia.nic.in,"Plant Quarantine Information System - Directorate of Plant Protection, Quarantine and Storage"
2860,playtunes.mtnldelhi.in,"RBT - Play Tunes, Mahanagar Telephone Nigam Limited (MTNL), Delhi"
2861,plimism.nic.in,Pharmacopoeial Laboratory for Indian Medicine (PLIM)
2862,pmagy.gov.in,Pradhan Mantri Adarsh Gram Yojana (PMAGY)
2863,pmawards.gov.in,Prime Ministers Award for Excellence in Public Administration
2864,pmay-urban.gov.in,Pradhan Mantri Awas Yojana (Urban) - Housing for All
2865,pmayg.gov.in,Pradhan Mantri Awaas Yojana-Gramin
2866,pmaymis.gov.in,Pradhan Mantri Awas Yojana (Urban) - MIS Portal
2867,pmfby.gov.in,Pradhan Mantri Fasal Bima Yojana: Crop Insurance Portal
2868,pmgsy.nic.in,Pradhan Mantri Gram Sadak Yojana (PMGSY)
2869,pmgsytenders.gov.in,eSubmission Tender System of PMGSY - Pradhan Mantri Gram Sadak Yojana (PMGSY)
2870,pmgsytendersarn.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Arunachal Pradesh"
2871,pmgsytendersasm.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Assam"
2872,pmgsytendersbih.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Bihar"
2873,pmgsytendershp.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Himachal Pradesh"
2874,pmgsytendersjk.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Jammu and Kashmir"
2875,pmgsytendersker.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Kerala"
2876,pmgsytendersmah.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Maharashtra"
2877,pmgsytendersman.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Manipur"
2878,pmgsytendersmiz.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Mizoram"
2879,pmgsytendersngl.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Nagaland"
2880,pmgsytenderspb.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Punjab"
2881,pmgsytendersraj.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Rajasthan"
2882,pmgsytendersskm.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Sikkim"
2883,pmgsytenderstn.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Tamilnadu"
2884,pmgsytenderstrp.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Tripura"
2885,pmgsytendersuk.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Uttarakhand"
2886,pmgsytendersup.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), Uttar Pradesh"
2887,pmgsytenderswb.gov.in,"eTendering System - Pradhan Mantri Gram Sadak Yojana (PMGSY), West Bengal"
2888,pmindia.gov.in,Prime Minister's Office
2889,pmjay.gov.in,Pradhan Mantri Jan Arogya Yojana (PM-JAY)
2890,pmjdy.gov.in,Pradhan Mantri Jan-Dhan Yojana (PMJDY) - National Mission for Financial Inclusion to ensure access to financial services
2891,pmkisan.gov.in,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)
2892,pmkmy.gov.in,Pradhan Mantri Kisaan Maan-dhan Yojana (PM-KMY)
2893,pmksy.gov.in,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)
2894,pmkvyofficial.org,Pradhan Mantri Kaushal Vikas Yojana (PMKVY)
2895,pmnrf.gov.in,"Prime Minister's National Relief Fund, (PMNRF) - Donate Online"
2896,pmonradio.nic.in,Mann ki Baat by Hon'ble Prime Minister of India
2897,pmrpy.gov.in,"Pradhan Mantri Rojgar Protsahan Yojana (PMRPY), EPFO"
2898,pmssy-mohfw.nic.in,Pradhan Mantri Swasthya Suraksha Yojana (PMSSY)
2899,pndt.gov.in,"The Pre-Conception and Pre-Natal Diagnostic Techniques, New Delhi"
2900,pngrb.gov.in,"Petroleum and Natural Gas Regulatory Board (PNGRB), New Delhi"
2901,police.gov.in,Indian Police in Service of the Nation
2902,policyholder.gov.in,"Consumer Education Website, IRDA, Hyderabad"
2903,pondiuni.edu.in,Pondicherry University
2904,pondycentralexcise.gov.in,"Central Excise, Puducherry"
2905,portal.bsnl.in,BSNL Portal - Online Payments and Recharge
2906,poshanabhiyaan.gov.in,POSHAN Abhiyaan - Prime Minister’s Overarching Scheme for Holistic Nourishment
2907,postagestamps.gov.in,"Postage Stamps, Department of Posts"
2908,postallifeinsurance.gov.in,"Directorate of Postal Life Insurance, Department of Posts"
2909,powergridindia.com,Power Grid Corporation of India Limited (POWERGRID)
2910,powermin.nic.in,Ministry of Power
2911,ppac.gov.in,Petroleum Planning and Analysis Cell (PPAC)
2912,pppinindia.gov.in,Public Private Partnerships (PPP) in India
2913,pppshipping.nic.in,Public Private Partnership Web Portal
2914,ppqs.gov.in,"Directorate of Plant Protection Quarantine and Storage, Ministry of Agriculture"
2915,praccmst.gov.in,"Controller Of Accounts (MST), New Delhi"
2916,prasarbharati.gov.in,"Prasar Bharati, Broadcasting Corporation of India"
2917,prcs-mohfw.nic.in,"Population Research Centres, Ministry of Health and Family Welfare"
2918,presidentofindia.gov.in,President of India
2919,presscouncil.nic.in,Press Council of India (PCI)
2920,prl.res.in,"Physical Research Laboratory (PRL), Department of Space, India, Ahmedabad"
2921,productivity.in,Productivity Portal - National Productivity Council (NPC)
2922,projectexports.com,Project Exports Promotion Council of India (PEPC)
2923,projecttiger.nic.in,"National Tiger Conservation Authority (NTCA), New Delhi"
2924,psa.gov.in,Office of the Principal Scientific Adviser
2925,psscive.nic.in,Pandit Sunderlal Sharma Central Institute of Vocational Education (PSSCIVE) 
2926,ptcguwahati.gov.in,"Postal Training Centre (PTC), Guwahati, Assam"
2927,ptcindia.com,Power Trading Corporation of India Limited (PTC)
2928,ptcmysore.gov.in,"Postal Training Centre (PTC), Mysore"
2929,publicationsdivision.nic.in,"Publications Division , Ministry of Information and Broadcasting"
2930,punarbhava.in,"Punarbhava, National Interactive Portal on Disability"
2931,punecenexcise.gov.in,"Central Excise, Pune I"
2932,punecustoms.nic.in,Pune Customs
2933,puneicai.org,"Pune Branch of WIRC, The Institute of Chartered Accountants of India (ICAI)"
2934,punenin.org,National Institute of Naturopathy (NIN)
2935,punenvis.nic.in,ENVIS Centre Punjab State Council for Science and Technology (PSCST)
2936,punjab.bsnl.co.in,Punjab Telecom Circle
2937,punjabcensus.gov.in,"Directorate of Census Operations, Punjab, Chandigarh"
2938,qa.bsnl.co.in,Telecom Quality Assurance Circle
2939,qcin.org,Quality Council of India
2940,rac.gov.in,"Recruitment and Assessment Centre (RAC), Defence Research and Development Organisation (DRDO)"
2941,railtelindia.com,RailTel Corporation of India Limited
2942,raj.bsf.gov.in,"Rajasthan Frontier, Border Security Force (BSF)"
2943,raj.nic.in,"Rajasthan State Centre, National Informatics Centre (NIC)"
2944,rajasthan.bsnl.co.in,Rajasthan Telecom Circle
2945,rajasthancustoms.gov.in,Rajasthan Customs
2946,rajbhasha.gov.in,Department of Official Language
2947,rajbhashaqpr.gov.in,"Information Management System, Department of Official Language, Ministry of Home Affairs"
2948,rajbhashasamiti.gov.in,Committee of Parliament on Official Language
2949,rajcensus.gov.in,"Directorate of Census Operation, Rajasthan"
2950,rajenvis.nic.in,"The Environmental Information System (ENVIS) Centre at Rajasthan State Pollution Control Board, Jaipur"
2951,rajyasabha.gov.in,Rajya Sabha
2952,rajyasabhahindi.nic.in,Rajyasabha (Hindi)
2953,raknpa.gov.in,"Rafi Ahmed Kidwai National Postal Academy (RAKNPA), Ghaziabad, Uttarpradesh"
2954,ras.gov.in,"Rapid Assessment System (RAS), Government of India"
2955,rashtrapatisachivalaya.gov.in,Presidents Secretariat
2956,rashtriyamilitaryschools.in,Rashtriya Military schools
2957,rathjatra.nic.in,"Rath Jatra, Festival of Chariots at Puri"
2958,razalibrary.gov.in,Rampur Raza Library
2959,rbi.org.in,Reserve Bank of India (RBI)
2960,rcb.res.in,"Regional Centre for Biotechnology (RCB), Gurgaon"
2961,rcf.indianrailways.gov.in,"Rail Coach Factory, Kapurthala"
2962,rcfltd.com,Rashtriya Chemicals and Fertilizers Limited (RCF)
2963,rciregistration.nic.in,"Online Registration - Rehabilitation Council of India, New Delhi"
2964,rcueshyd.gov.in,"Regional Centre for Urban and Environmental Studies (RCUES), Osmania University, Hyderabad"
2965,rcueslucknow.org,"Regional Centre for Urban and Environmental Studies (RCUES), Lucknow"
2966,rdatchennai.gov.in,Regional Directorate of Apprenticeship Training (RDAT) - Chennai
2967,rdathyderabad.gov.in,"Regional Directorate of Apprenticeship Training (RDAT), Hyderabad "
2968,rdatmumbai.gov.in,"Regional Directorate of Apprenticeship Training, Mumbai (Western Region)"
2969,rdpl-india.in,Rajasthan Drugs and  Pharmaceuticals Limited (RDPL)
2970,rdso.indianrailways.gov.in,"Research Designs and Standards Organisation, Manaknagar, Lucknow"
2971,recindia.gov.in,Rural Electrification Corporation Limited
2972,recregistryindia.nic.in,Renewable Energy Certificate Registry of India
2973,recruitment.nic.in,"Online Recruitment , National Informatics Centre (NIC)"
2974,register.csc.gov.in,Services Portal of Common Services Centers (CSC) Scheme
2975,registry.ernet.in,"Domain Name Registration Services under AC.IN, EDU.IN and RES.IN - ERNET India"
2976,registry.gov.in,GOV.IN Domain Registration Process
2977,registry.in,".IN Registry, National Internet eXchange of India (NIXI)"
2978,rehabcouncil.nic.in,Rehabilitation Council of India (RCI)
2979,reiljp.com,Rajashthan Electronics & Instruments Ltd. ( REIL )
2980,reilsolar.com,"Rajasthan Electronics and Instruments Limited (REIL) - Solar PV Monitoring System, Jaipur"
2981,renewabletraining.nic.in,"Renewable Training, Ministry of New and Renewable Energy (MNRE)"
2982,repmismoef.nic.in,"Research in Environment (RE) Division, Ministry of Environment, Forest and Climate Change"
2983,republicday.nic.in,Republic Day Celebrations 
2984,rera.delhi.gov.in,Real Estate Regulatory Authority (RERA) for the National Capital Territory (NCT) of Delhi
2985,reserve.nic.in,Video Conferencing Portal - Request for E-Reservation of Video conference (RESERVE)
2986,resident.uidai.gov.in,Resident Portal for Online Aadhaar Services by UIDAI
2987,results.gov.in,Gateway to Exam Results in India
2988,rfi.nic.in,"Rifle Factory Ishapore, West Bengal"
2989,rgcb.res.in,Rajiv Gandhi Centre for Biotechnology (RGCB)
2990,rgipt.ac.in,"The Rajiv Gandhi Institute of Petroleum Technology (RGIPT), Rae Bareli, Uttar Pradesh"
2991,rgniyd.gov.in,Rajiv Gandhi National Institute of Youth Development (RGNIYD)
2992,rica.tn.nic.in,Regional Institute of Correctional Administration (RICA)
2993,richardsoncruddas.com,Richardson and Cruddas (1972) Ltd.
2994,ricmpatna.bih.nic.in,"DNS Regional Institute of Cooperative Management, Patna"
2995,rieajmer.ac.in,"Regional Institute of Education (RIE), Ajmer"
2996,riebhopal.nic.in,"Regional Institute of Education (RIE), Bhopal"
2997,riemysore.ac.in,The Regional Institute of Education Mysore
2998,rimc.gov.in,"Rashtriya Indian Military College (RIMC), Uttarakhand"
2999,rims.edu.in,"Regional Institute of Medical Sciences, Imphal, Manipur"
3000,rioneshillong.gov.in,"Regional Inspectorial Organisation, Shillong"
3001,ripsat.nic.in,"Regional Institute of Pharmaceutical Science and Technology (RIPSAT), West Tripura"
3002,rjdgftldh.nic.in,"Joint Director General of Foreign Trade, Ludhiana"
3003,rjit.org,Rustamji Institute of Technology (RJIT)
3004,rkvy.nic.in,Rashtriya Krishi Vikas Yojana (RKVY)
3005,rlbcau.ac.in,Rani Lakshmi Bai Central Agricultural University
3006,rlcraipur.gov.in,"Regional Labour Commissioner (Central) Raipur, Chhattisgarh"
3007,rlda.in,"Rail Land Development Authority, New Delhi"
3008,rltrird.cg.gov.in,"Regional Leprosy Training and Research Institute and Regional Office of Health and Family Welfare, Raipur, Chhattisgarh"
3009,rmcchennaieatlas.tn.nic.in,"Cyclone eAtlas – IMD, Tracks of Cyclones and Depressions over North Indian Ocean, Chennai"
3010,rmk.nic.in,Rashtriya Mahila Kosh (RMK)
3011,rmrcbbsr.gov.in,"Regional Medical Research Centre (RMRC), Bhubaneswar, Odisha"
3012,rmsa.cg.gov.in,"Rashtriya Madhyamik Shiksha Abhiyan (RSMA), Chhattisgarh"
3013,rni.nic.in,Registrar of Newspapers for India (RNI)
3014,rniefiling.gov.in,"e - Filing Services, Registrar of Newspaper for India"
3015,rodra.gov.in,Retired Officers Digital Records Archive - Veteran Officers and Family Pensioners of Indian Army
3016,rojgarsamachar.gov.in,"Rozgar Samachar, Vacancy in Government Sector"
3017,rplkerala.com,Rehabilitation Plantations Limited (RPL)
3018,rpo.gov.in,National Portal for Renewable purchase obligation (RPO)
3019,rrbahmedabad.gov.in,"Railway Recruitment Board (RRB), Ahmedabad"
3020,rrbajmer.gov.in,"Railway Recruitment Board (RRB), Ajmer"
3021,rrbald.gov.in,"Railway Recruitment Board (RRB), Allahabad"
3022,rrbbbs.gov.in,"Railway Recruitment Board (RRB), Bhubaneswar"
3023,rrbbhopal.gov.in,"Railway Recruitment Board (RRB), Bhopal"
3024,rrbbilaspur.gov.in,"Railway Recruitment Board (RRB), Bilaspur, Chhattisgarh"
3025,rrbbnc.gov.in,"Railway Recruitment Board (RRB), Bangalore  "
3026,rrbcdg.gov.in,"Railway Recruitment Board (RRB), Chandigarh"
3027,rrbchennai.gov.in,"Railway Recruitment Board (RRB), Chennai"
3028,rrbgkp.gov.in,"Railway Recruitment Board (RRB), Gorakhpur"
3029,rrbguwahati.gov.in,"Railway Recruitment Board (RRB), Guwahati"
3030,rrbjammu.nic.in,"Railway Recruitment Board (RRB), Jammu-Srinagar"
3031,rrbkolkata.gov.in,"Railway Recruitment Board (RRB), Kolkata"
3032,rrbmalda.gov.in,"Railway Recruitment Board (RRB), Malda"
3033,rrbmumbai.gov.in,"Railway Recruitment Board (RRB), Mumbai"
3034,rrbmuzaffarpur.gov.in,"Railway Recruitment Board (RRB), Muzaffarpur"
3035,rrbpatna.gov.in,"Railway Recruitment Board (RRB), Patna"
3036,rrbranchi.gov.in,"Railway Recruitment Board (RRB), Ranchi"
3037,rrbsecunderabad.nic.in,"Railway Recruitment Board (RRB), Secunderabad"
3038,rrbsiliguri.org,"Railway Recruitment Board (RRB), Siliguri"
